scope,pixels,accuracy,macro_f1,background_f1,candy_precision,candy_recall,candy_f1,sticker_precision,sticker_recall,sticker_f1
basler_120126,4263,0.6206896551724138,0.44835180737069164,0.5979314802844214,0.6911646586345381,0.8129428436466698,0.7471239418276536,0.0,0.0,0.0
basler_OldObj,4373,0.7688085982163274,0.50730425614328,0.7071823204419889,0.6942736978324167,0.9857602204869086,0.8147304479878512,0.0,0.0,0.0
basler_tstRGB,4291,0.9195991610347238,0.6130295660298616,0.9174443646805456,0.8993794326241135,0.9450395901257569,0.9216443334090393,0.0,0.0,0.0
images,31073,0.8925755479033244,0.8872281876718842,0.8271458439283494,0.8505747126436781,0.9769832924407057,0.9094072865687873,0.9995853719213865,0.861,0.9251314325185157
