epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3888,1.90552,3.67995,1.42573,0,0,0,0,0,0,0,0.000509361,0.000509361,0.000509361
2,29.7937,1.95377,3.60442,1.4637,0,0,0,0,0,0,0,0.00102285,0.00102285,0.00102285
3,43.8946,1.97014,3.44158,1.48004,0,0,0,0,0,0,0,0.00149234,0.00149234,0.00149234
4,60.253,2.0571,2.60659,1.38393,0,0,0,0,0,0,0,0.00146896,0.00146896,0.00146896
5,73.5256,1.93737,2.59822,1.33465,0,0,0,0,0,0,0,0.00140295,0.00140295,0.00140295
6,86.8996,2.19101,2.34972,1.524,0,0,0,0,0,0,0,0.00133693,0.00133693,0.00133693
7,100.146,2.38642,2.19543,1.64472,0,0,0,0,0,0,0,0.00127092,0.00127092,0.00127092
8,113.469,2.24072,2.33395,1.62404,0,0,0,0,0,0,0,0.00120491,0.00120491,0.00120491
9,127.966,2.18929,1.95529,1.48477,0,0,0,0,0,0,0,0.00113889,0.00113889,0.00113889
10,145.77,2.30951,2.00552,1.52262,0,0,0,0,0,0,0,0.00107288,0.00107288,0.00107288
11,160.735,2.07374,1.82176,1.43758,0,0,0,0,0,0,0,0.00100687,0.00100687,0.00100687
12,177.395,2.01837,1.86698,1.40084,0,0,0,0,0,0,0,0.000940855,0.000940855,0.000940855
13,194.967,2.10074,2.03573,1.4024,0,0,0,0,0,0,0,0.000874842,0.000874842,0.000874842
14,216.973,1.90126,2.05201,1.31755,0,0,0,0,0,0,0,0.000808828,0.000808828,0.000808828
15,232.314,1.89686,1.78318,1.30221,0,0,0,0,0,0,0,0.000742815,0.000742815,0.000742815
16,245.579,1.69813,1.715,1.25487,0,0,0,0,0,0,0,0.000676802,0.000676802,0.000676802
17,259.67,1.52941,1.83565,1.18723,0,0,0,0,0,0,0,0.000610789,0.000610789,0.000610789
18,275.452,1.62973,1.89984,1.21307,0,0,0,0,0,0,0,0.000544776,0.000544776,0.000544776
19,290.82,1.50441,1.92342,1.20378,0,0,0,0,0,0,0,0.000478762,0.000478762,0.000478762
20,308.815,1.38542,1.65815,1.11962,0,0,0,0,0,0,0,0.000412749,0.000412749,0.000412749
21,330.883,1.60922,1.91212,1.20727,0,0,0,0,0,0,0,0.000346736,0.000346736,0.000346736
22,353.371,1.50772,1.72781,1.15726,0,0,0,0,0,0,0,0.000280723,0.000280723,0.000280723
23,366.215,1.54362,1.49807,1.17611,0,0,0,0,0,0,0,0.00021471,0.00021471,0.00021471
24,379.02,1.57592,1.56352,1.17013,0,0,0,0,0,0,0,0.000148696,0.000148696,0.000148696
25,402.168,1.46158,1.63315,1.1607,0.79318,0.72485,0.81314,0.49932,1.40443,1.31556,1.18232,8.26832e-05,8.26832e-05,8.26832e-05
